Category: All categories

Day,gold: (United States)
2020-01-02,87
2020-01-03,87
2020-01-04,95
2020-01-05,89
2020-01-06,91
2020-01-07,86
2020-01-08,88
2020-01-09,82
2020-01-10,81
2020-01-11,91
2020-01-12,83
2020-01-13,82
2020-01-14,80
2020-01-15,84
2020-01-16,84
2020-01-17,79
2020-01-18,92
2020-01-19,84
2020-01-20,84
2020-01-21,79
2020-01-22,77
2020-01-23,77
2020-01-24,80
2020-01-25,94
2020-01-26,83
2020-01-27,80
2020-01-28,78
2020-01-29,79
2020-01-30,79
2020-01-31,82
2020-02-01,95
2020-02-02,87
2020-02-03,77
2020-02-04,82
2020-02-05,77
2020-02-06,80
2020-02-07,79
2020-02-08,92
2020-02-09,94
2020-02-10,83
2020-02-11,78
2020-02-12,78
2020-02-13,79
2020-02-14,78
2020-02-15,91
2020-02-16,88
2020-02-17,88
2020-02-18,82
2020-02-19,80
2020-02-20,84
2020-02-21,88
2020-02-22,93
2020-02-23,85
2020-02-24,100
2020-02-25,92
2020-02-26,85
2020-02-27,88
2020-02-28,94
2020-02-29,96
2020-03-01,95
2020-03-02,86
2020-03-03,81
2020-03-04,83
2020-03-05,84
2020-03-06,88
2020-03-07,97
2020-03-08,88
2020-03-09,100
2020-03-10,83
2020-03-11,79
2020-03-12,85
2020-03-13,88
2020-03-14,86
2020-03-15,84
2020-03-16,87
2020-03-17,82
2020-03-18,82
2020-03-19,79
2020-03-20,76
2020-03-21,77
2020-03-22,79
2020-03-23,75
2020-03-24,84
2020-03-25,80
2020-03-26,80
2020-03-27,82
2020-03-28,84
2020-03-29,81
2020-03-30,78
2020-03-31,72
2020-04-01,74
2020-04-02,71
2020-04-03,72
2020-04-04,80
2020-04-05,79
2020-04-06,74
2020-04-07,73
2020-04-08,74
2020-04-09,76
2020-04-10,83
2020-04-11,82
2020-04-12,80
2020-04-13,77
2020-04-14,79
2020-04-15,79
2020-04-16,82
2020-04-17,84
2020-04-18,92
2020-04-19,89
2020-04-20,78
2020-04-21,83
2020-04-22,87
2020-04-23,84
2020-04-24,82
2020-04-25,84
2020-04-26,88
2020-04-27,85
2020-04-28,81
2020-04-29,84
2020-04-30,82
2020-05-01,90
2020-05-02,88
2020-05-03,86
2020-05-04,82
2020-05-05,85
2020-05-06,80
2020-05-07,83
2020-05-08,82
2020-05-09,85
2020-05-10,86
2020-05-11,82
2020-05-12,86
2020-05-13,86
2020-05-14,86
2020-05-15,88
2020-05-16,92
2020-05-17,86
2020-05-18,89
2020-05-19,85
2020-05-20,87
2020-05-21,86
2020-05-22,85
2020-05-23,87
2020-05-24,88
2020-05-25,91
2020-05-26,81
2020-05-27,81
2020-05-28,78
2020-05-29,80
2020-05-30,80
2020-05-31,83
2020-06-01,70
